fr,ja
présence,プレゼンス
récupérer,回復します
quelles,何
manqué,欠如
cou,首
venait,持っていました
étage,床
regard,外観
bouger,動き
finalement,最後に
couper,切る
urgence,緊急
perds,失う
points,点数
meurt,ダイス
partons,休暇
troisième,第三
savons,知っています
folie,狂気
ancien,前者
chante,歌わ
obtenir,取得する
répète,もう一回言って
toit,ルーフ
humains,人間
robert,ロバート
jardin,庭園
métier,ジョブ
poche,ポーチド
méchant,平均
paradis,パラダイス
proche,閉じる
rejoindre,再結合
lors,それから
nombre,数
crains,恐れ
règle,ルール
frapper,ヒット
intention,意図
succès,成功
forte,強い
gentille,種類
campagne,田舎
raisons,理由
malgré,にもかかわらず
alcool,アルコール
regardé,見えました
jerry,ジェリー
billets,切符売場
fantastique,ファンタスティック
lee,風下
théâtre,劇場
vôtre,君の
samedi,土曜日
pluie,雨
fermé,閉まっている
relation,関係
frappé,ヒット
restaurant,飲食店
douce,新鮮な
maladie,疾患
parlait,話し中
raté,逃しました
casse,壊れた
dessous,未満
pourrai,たぶん......だろう
victoire,勝利
voudrait,でしょう
remarqué,注意
assurer,確保
pleure,泣く
bouteille,ボトル
gare,駅
carrière,キャリア
sentiments,思い
suivi,モニタリング
vies,生活
fiston,息子
vendu,販売
attendant,その間に
pourras,できます
amoureuse,恋愛中
mens,男性用
falloir,する必要がある
chinois,中国の
étranger,外国の
appelait,呼ばれます
assure,分確保
étant,であること
queue,尾
odeur,臭い
enlève,削除し
produit,製品
meurs,死にます
secrets,秘密
pression,圧力
fatigué,疲れました
aies,HAST
plage,ビーチ
okay,はい
animal,動物
frappe,ヒット
montagne,山
coffre,胸
passage,通路
suivant,以下
signal,信号
discours,スピーチ
cents,セント
claire,クレア
g,グラム
rivière,川
costume,スーツ
prendra,とる
souhaite,願い
hasard,危険
journaux,新聞
aveugle,盲検
lis,リリー
demandez,頼みます
retraite,退職
afin,に
vendredi,金曜日
van,バン
auraient,でしょう
obligé,強制
major,スタッフ
neige,雪
remercier,感謝
fusil,マスケット銃
gardes,警備員
faible,低いです
pauvres,貧しいです
noirs,黒
gâteau,ケーキ
cesse,絶えず
parfaitement,完全に
excuses,謝罪
viande,肉
ministre,牧師
univers,宇宙
vienne,ウィーン
utile,有用
demandais,尋ね
crétin,脳たりん
gaffe,失策
cache,隠されました
disant,格言
décider,決めます
dort,スリープ
gaz,ガス
blancs,白人
connaissance,知識
vouliez,欲しいです
jake,ジェイク
vidéo,ビデオ
bataille,戦い
vive,ビバ
anna,アンナ
martin,マーティン
iui,IUI
os,骨
entend,聞こえ
jeux,ゲーム
will,意志
verras,見る
date,日付
échapper,逃れる
naissance,誕生
droits,権利
assassin,暗殺者
attendu,予想
montez,マウント
nouvel,新着
pensent,考えます
génie,天才
sérieusement,ひどく
cible,目標
prépare,作ります
agir,行為へ
militaire,軍事的
futur,未来
attraper,捕まえる
bal,玉
europe,ヨーロッパ
californie,カリフォルニア
donnez,与える
cousin,いとこ
vert,緑
poids,重量
volonté,意志
ventre,腹
accepte,容認されました
amené,持って来ます
recevoir,受信します
inquiétez,心配
perd,失います
autrement,他の
informations,ニュース
titre,題名
célèbre,人気のあります
couple,カップル
sexy,セクシー
serons,意志
certaine,いくつか
parlons,LETの話
star,星
étoiles,出演者
rome,ローマ
los,骨
répondu,答え
resté,残り
charmant,魅力的な
puissant,強いです
zéro,ゼロ
genoux,膝
mine,私の
couilles,ボール
pilote,パイロット
maria,マリア
style,スタイル
ramène,思い出させます
voulons,をしたい
embrasser,キスをする
amener,鉛
valeur,値
fortune,幸運
reprendre,履歴書
revenez,リターン
vieil,古い
walter,ウォルター
servi,務め
arrivés,到着した
lève,調査
voleur,泥棒
côtés,両側
chris,クリス
note,注意
préféré,好む
couché,層
milliers,数千
aéroport,空港
prévenir,防ぐ
château,城
apparemment,明らかに
gardez,保つ
privé,民間
détails,細部
larry,ラリー
direct,直接
reposer,残り
commande,順序付けられました
cherchez,見ること
fer,鉄
conduit,パイプ
conscience,意識
oreilles,耳
conversation,会話
regardes,外観
joues,演奏する
ennemis,敵
attendent,待つ
article,論文
dieux,神々
talent,才能
aise,イージー
poulet,チキン
passée,過去
comprend,備えます
gorge,喉
feras,なかれ
tribunal,裁判所
découvrir,発見する
agréable,楽しいです
jette,スロー
test,テスト
emmerde,面倒
détruit,破壊
nerveux,ナーバス
saint,聖なる
marrant,おもしろいです
joindre,加わります
sentiment,感じ
lance,槍
humaine,人間
acte,行為
jane,ジェーン
pis,乳房
enculé,下劣な男
tuée,殺されました
saura,わかるでしょう
doigt,指
pourrez,できる
passera,通過します
horreur,ホラー
comptes,アカウント
dernières,最新
violence,暴力
fumer,タバコを吸う
invités,ゲスト
parlais,話し中
job,ジョブ
salon,リビングルーム
défendre,守る
mariés,既婚
rock,岩
apporter,持ってくる
coupé,切り落とさ
repos,残り
paquet,パッケージ
page,ページ
utilise,用途
victimes,犠牲者
sage,賢い
aidé,助けて
intelligent,賢いです
ombre,影
vache,牛
désert,砂漠
forêt,森林
parfaite,パーフェクト
tombée,秋
extérieur,外側
entré,の間に
série,シリーズ
concerne,心配している
paroles,歌詞
dira,伝えます
it,それ
champion,チャンピオン
fbi,FBI
lundi,月曜
moteur,エンジン
ouverte,開かれました
mince,薄い
al,アル
russe,ロシア
grandi,大人
rappelles,思い出します
dormi,眠っていました
ordinateur,コンピューター
in,に
angeles,ロサンゼルス
accepté,容認されました
désormais,今後
acteur,俳優
membres,メンバー
trouvée,ました
pete,ピート
surpris,驚きました
miracle,奇跡
vole,飛ぶ
manquer,不足へ
franchement,端的
apprécie,感謝する
cigarette,シガレット
chemise,シャツ
mark,マーク
tente,未遂
faisant,作成
billet,チケット
reculez,あとずさりする
moyens,手段
importante,重要
unité,単位
champagne,シャンパン
pensait,思想
www,WWW
partager,シェア
smith,スミス
minuit,真夜中
américaine,アメリカン
courses,レーシング
puissance,パワー
william,ウィリアム
nombreux,数々
réparer,修正へ
caché,隠されました
haute,高い
sommeil,睡眠
essence,ガソリン
riches,リッチ
lac,湖
maire,市長
mode,ファッション
vingt,二十
reviendra,戻ってくるだろう
pousse,シュート
amusant,面白い
passez,スキップ
services,サービス
doc,ドキュメント
rues,街
of,の
risques,リスク
émission,プログラム
leçon,レッスン
annonce,広告
plans,予定
usine,工場
louis,ルイ
imaginer,想像します
chauffeur,運転者
marque,マーク
parc,パーク
épée,剣
fesses,臀部
échange,両替
souvenirs,思い出
créer,作ります
senti,フェルト
signer,符号
artiste,アーティスト
jeté,スロー
réveiller,ウェイク
hiver,冬
également,さらに
hum,ハム
souffle,呼吸
vrais,リアル
arbres,木
saute,飛び上がっ
fuir,逃げる
meme,さえ
battu,打たれました
permission,許可
casser,ブレーク
chicago,シカゴ
allemands,ドイツ人
utilisé,使用中で
mentir,横たわる
souci,心配
é,エド
coûte,費用
paye,支払いました
tres,非常に
offert,自由
sir,お客様
no,番号。
chair,肉
caisse,チェックアウト
supplie,拝み倒します
dégagez,アンタップ
raconté,話しました
andy,アンディ
lunettes,眼鏡
chouette,梟
menteur,うそつき
trouvera,見つけます
semblant,公演
ignorais,無知の
perdue,失われました
whisky,ウィスキー
rentrez,戻ってくる
premiers,最初
pantalon,ズボン
menace,脅威
racontes,語り
douche,シャワー
oiseaux,鳥類
finie,完成
auront,意志
débarrasser,取り除く
membre,メンバー
perte,損失
verrez,見る
front,額
lèvres,唇
mai,五月
fac,ユニ
allo,こんにちは
connaissais,知っていました
gouverneur,知事
monnaie,変化する
chou,キャベツ
achète,購入した
thomas,トーマス
secrétaire,秘書
montré,示します
jones,ジョーンズ
écris,書く
parlent,トーク
chaise,椅子
herbe,草
créé,作成した
manteau,コート
chocolat,チョコレート
pause,休止
côte,海岸
abandonner,放棄します
policier,警察官
patient,患者
dave,デイブ
études,研究
ballon,玉
mène,リード
respire,息をします
mouvement,移動
suicide,自殺
japonais,日本語
accès,アクセス
tienne,あなたのもの
laisserai,休暇
poupée,人形
innocent,無実の
allés,ゴーン
identité,身元
véritable,真
simon,サイモン
devenue,なります
totalement,全く
piège,トラップ
gloire,栄光
pourraient,たぶん......だろう
abri,シェルター
explique,説明します
rapidement,早く
fonctionne,ワークス
boy,男の子
foule,群集
pensées,感想
maisons,家
fantôme,幽霊
source,ソース
lancer,打ち上げ
suit,次の
changement,変化する
choc,ショック
veste,ジャケット
attaquer,攻撃
faveur,好意
oreille,聞く
touchez,接する
malheureusement,不運にも
soudain,突然
tués,あなたは、
bref,要するに
malheur,不幸
portable,ポータブル
chaleur,熱
mensonge,横たわる
répondez,回答
heureusement,幸運なことに
emploi,雇用
lois,法制
nettoyer,掃除
attrape,キャッチ
geste,ジェスチャー
verrai,見る
notes,ノート
plat,皿
etait,ました
corde,ロープ
sacrée,神聖
cherches,見ること
siècle,世紀
etat,状態
distance,距離
refusé,ごみ
mars,行進
saison,シーズン
bel,綺麗な
monté,マウント
idiote,馬鹿
recherches,研究
alerte,警報
ennuie,退屈
christ,キリスト
remonte,トレースされたバック
plaisante,冗談
city,市
bat,ビート
images,画像
voulaient,欲しいです
titres,有価証券
alice,アリス
couverture,毛布
moments,時間
big,大きい
mesure,測定
atteindre,リーチ
singe,モンキー
pistolet,銃
frontière,境界
réel,リアル
réfléchi,反射的
somme,和
agents,エージェント
ours,くま
prisonniers,捕虜
évidemment,明らかに
afrique,アフリカ
allemand,ドイツ人
dan,ダン
couche,層
relations,関係
texas,テキサス
delà,の
celles,それら
navire,輸送する
deviens,なります
bite,コック
laisses,リーシュ
dirige,監督
partenaire,相棒
aube,夜明け
demi,ハーフ
affreux,恐ろしい
camarade,同志
street,通り
inquiéter,心配
tableau,ボード
fatiguée,疲れました
entreprise,ビジネス
demandes,リクエスト
nana,女の子
re,再
coincé,スタックアップ
tenu,希薄な
viré,解雇
suspect,容疑者
reconnais,認めます
ressens,感じます
juif,ユダヤ人の
directement,直接
mexique,メキシコ
cherché,求め
marine,マリン
prisonnier,囚人
finit,終了
howard,ハワード
étoile,星
jean,ジーンズ
convaincre,納得させる
filer,スピン
kevin,ケビン
bosse,バンプ
pousser,押す
protection,保護
signé,符号
crier,エール
rêvé,夢
respirer,息をします
propriétaire,オーナー
prêtre,祭司
donnes,与える
taire,アップ静けさします
permettre,許可証に
prudent,注意深いです
carl,カール
commis,店員
chaîne,鎖
copains,友人
sec,ドライ
cauchemar,悪夢
laver,ウォッシュ
hollywood,ハリウッド
jeff,ジェフ
réfléchis,考え深いです
trompe,だまさ
hais,嫌い
immeuble,建物
supporter,サポート
soi,自己
bagages,荷物
tir,シュート
traverser,横切ること
commissaire,コミッショナー
mac,マック
donnerai,与える
reviendrai,リターン
larmes,涙
déranger,気にします
Arthur,アーサー
pigé,cottoned
réserve,予備
adam,アダム
volant,飛行
uniforme,ユニフォーム
st,ST
croient,信じます
différents,異なります
souffrir,苦しみます
maudit,くそー
valise,スーツケース
prendrai,取る
assurance,保険
abandonné,捨てられました
dames,女性
lendemain,翌日
navré,がっくり
prennent,取る
sénateur,上院議員
roule,ロール
montagnes,山岳
lapin,ウサギ
juifs,ユダヤ人の
amuse,おもしろがりました
espérais,望みました
fleur,花
merveilleuse,素晴らしい
tournée,旅行
scott,スコット
information,情報
foyer,家
tourné,投入
personnage,キャラクター
permettez,許します
amitié,友情
hâte,速攻
opinion,意見
curieux,奇妙な
concert,コンサート
enfance,子供時代
extraordinaire,素晴らしいです
davantage,もっと
saviez,知っていました
chargé,充電
porc,豚肉
recommence,再開する
chèque,小切手
piano,ピアノ
jouez,演奏する
océan,海洋
ayant,ました
go,行きます
pattes,足
ravie,感激
trace,痕跡
réveillé,目を覚ます
miles,マイル
soupe,スープ
sucre,シュガー
écoutes,劇
vierge,バージン
mauvaises,悪い
objet,オブジェクト
adorable,愛らしいです
chine,中国
sonne,音
envoyez,送信
réputation,評判
kate,ケイト
sport,スポーツ
brave,勇者
lieux,場所
brûle,火傷
russes,ロシア
murs,壁
second,第2
etes,「再
facilement,簡単に
troupes,軍
titrage,滴定
canon,銃
bague,リング
bâtiment,建物
seraient,でしょう
cellule,細胞
Susan,スーザン
survivre,生き残るために
trouverai,見つけます
printemps,春
voisins,隣人
nuits,ナイツ
chances,オッズ
contrôler,コントロール
compliqué,複雑
voyais,見る
retirer,削除する
ancienne,古代
théorie,理論
avancez,前進
studio,スタジオ
exploser,爆発します
explosion,爆発
fiancée,婚約者
évident,明らか
gardé,保つ
accusé,被告
Annie,アニー
témoins,目撃者
désir,慾望
humanité,人類
amen,アーメン
magie,マジック
restera,滞在します
palais,宮殿
cirque,サーカス
cinglé,クレージー
conduis,鉛
sales,汚れた
traces,足音
station,駅
construire,ビルドに
joey,ジョーイ
siège,シート
Kelly,ケリー
semblait,登場
vivants,生活
voient,見る
représente,代表
sombre,闇
lourd,ヘビー
lá,インクルード
familles,家族
égal,等しい
surveille,モニター
terme,期間
gêne,不快な
poule,編
pére,パパ
devraient,SHOULD
soif,渇き
haine,憎しみ
Rachel,レイチェル
Jason,ジェイソン
surveiller,モニター
ted,テッド
marin,マリン
procureur,検察
traité,条約
vivent,住む
chansons,曲
souvenez,思い出します
entière,コンプリート
résultat,結果
préparé,作ります
top,上
enchantée,始めまして
gardien,保護者
traite,条約
avancer,前進
commun,一般
pêche,桃
tien,あなたのもの
posé,レイド
libérer,解除
gamins,子供たち
taule,刑務所
retournez,リターン
médicaments,医薬品
matériel,装置
crâne,頭蓋骨
région,領域
débile,愚か
science,理科
délicieux,おいしい
privée,民間
créature,生物
ho,ホ
ed,エド
king,キング
liquide,液体
réglé,ルール
gay,ゲイ
apprend,学びます
quant,約
péché,桃
répéter,繰り返す
auprès,近所の
tâche,仕事
devine,推測
mener,鉛
vente,セール
plu,雨が降りました
joueur,プレーヤー
modèle,モデル
aurons,意志
up,アップ
mensonges,嘘
fermez,閉じる
traiter,御馳走
secteur,セクタ
soyons,てみましょう
barre,閉鎖
appelée,呼ばれます
projets,プロジェクト
roman,小説
veille,イブ
étudier,勉強する
tenue,服
physique,物理的
passait,行き
concours,コンテスト
jaune,黄
inconnu,わからない
victor,ビクター
vision,ビジョン
black,黒
lentement,ゆっくり
surface,範囲
dick,ペニス
com,コム
matt,マット
kilomètres,キロメートル
baise,くそ
x,バツ
sers,サーブ
abandonne,捨てられました
vivante,生きています
spéciale,特別
prof,先生
poissons,魚座
bosser,作業
cherchais,見ること
my,じぶんの
empire,帝国
cigarettes,タバコ
amies,友人
aventure,冒険
responsabilité,責任
sauve,安全
devrions,SHOULD
lucy,ルーシー
atteint,達成
infirmière,ナース
humeur,気分
descendez,ダウン
résultats,結果
tenté,未遂
baisse,落とす
mn,MN
rare,レア
empreintes,指紋
proches,親族
sauvage,野生
virer,火
fumée,煙
lisa,リサ
engagé,従事して
romantique,ロマンチック
cloche,ベル
brian,ブライアン
magique,マジック
chers,親愛な
comité,委員会
choisis,選択
voila,ここは
jaloux,嫉妬
divorce,離婚
lord,主
données,データ
détective,探偵
rouges,赤
fred,フレッド
ambulance,救急車
rentrée,リターン
port,港
anne,アン
roy,ロイ
cochon,豚
enfuir,逃れる
devra,意志
francisco,サンフランシスコ
ménage,家事
roger,了解
particulier,特定の
journaliste,ジャーナリスト
croix,クロス
pareille,お気に入り
royaume,王国
disparaître,姿を消す
jus,ジュース
comte,郡
sainte,聖なる
soucis,苦労
allemagne,ドイツ
patience,根気
fallu,取った
net,ネット
suivez,従います
panique,パニック
q,Q
morceaux,部品
construit,構築されました
crédit,クレジット
rater,お嬢
normale,パー
attendait,予想
bye,バイ
fromage,チーズ
embrasse,擁する
complet,いっぱい
bouffe,食物
boutique,ショップ
seriez,でしょう
recommencer,再起動
scénario,シナリオ
jeudi,木曜日
endroits,場所
brûler,燃やす
nommé,任命
mardi,火曜日
hall,ロビー
réalisé,実現
terry,テリー
passion,情熱
enlevé,削除
profond,深い
télévision,テレビ
abruti,愚か者
réussir,成功します
répond,回答
red,赤
emmené,ドリブン
cadeaux,贈り物
remonter,乗り付けます
accompagner,同行します
johnson,ジョンソン
différente,異なります
tromper,欺く
pot,ポット
lien,リンク
serpent,ヘビ
imaginez,想像します
excusez,言い訳
trompé,だまさ
cadavre,死体
bouton,ボタン
cancer,癌
descend,ダウン
centaines,何百
poussière,ほこり
piscine,スイミングプール
entraînement,トレーニング
terminée,完成
tapis,カーペット
esprits,心
phil,フィル
inviter,招待する
œuvre,芸術作品
imagination,想像力
chut,静けさ
park,パーク
existence,存在
empereur,天皇
décide,決定しました
eric,エリック
ascenseur,エレベーター
criminel,犯罪者
révolution,革命
principal,メイン
terres,土地
charmante,美しい
promesse,約束する
période,限目
craint,恐怖
croyait,思想
courrier,郵便物
récemment,最近
écran,画面
anciens,古い
cris,叫び
passes,パス
combattre,戦闘
réveille,目を覚ます
feront,意志
élevé,学生
têtes,頭
souffre,苦しみます
quiconque,誰でも
malheureux,不運な
césar,シーザー
arrives,到着した
empêche,停止
brisé,壊れた
garage,ガレージ
russie,ロシア
Jackson,ジャクソン
bêtes,獣
tenter,試します
excellente,優れた
passent,費やす
ferez,意志
pub,パブ
logique,論理
version,バージョン
permet,ことができます
parte,PARTE
temple,寺院
section,セクション
rythme,ペース
propriété,プロパティ
étrangers,外国の
finis,完成
erreurs,エラー
feriez,でしょう
propose,提供
examen,試験
nation,国家
approchez,近づきます
différentes,異なります
traduction,翻訳
reconnu,認識
cap,ケープ
meurtres,殺人
courageux,勇気のある
profiter,楽しい
juré,誓いました
miel,はちみつ
poil,ヘア
rapports,レポート
chic,シック
fonds,資金
aimerait,でしょう
sable,砂
lutte,戦い
fière,誇りに思う
is,あります
japon,日本
douze,12
labo,ラボ
ya,前
agence,代理店
cependant,しかしながら
indiens,インディアン
donnera,あげる
restent,残ります
ceinture,ベルト
seins,懐
étonnant,驚くべき
uns,各
nourrir,フィード
inventé,考案
sérieuse,深刻
ment,嘘をついています
pratique,便利
invite,招待
potes,友人
meurtrier,殺人者
vegas,ラスベガス
idéal,理想的
maîtresse,愛人
central,セントラル
fume,煙
équipage,クルー
brillant,明るい
trouvent,見つけます
crie,アウト呼び出します
laura,ローラ
commission,手数料
nager,泳ぐ
boit,飲酒
bombes,爆弾
figure,フィギュア
revolver,リボルバー
crème,クリーム
rat,ラット
tempête,嵐
refaire,作り直します
née,生まれ
supporte,サポート
crever,死にます
conduite,行動
lci,LCI
brown,褐色
pure,掃除
traitement,処理
porté,ドア
voyait,鋸
cabine,キャビン
fuite,フライト
nationale,国民
estomac,胃
machines,機械
julie,ジュリー
couloir,廊下
emily,エミリー
ouah,ワオ
bijoux,宝石
lâcher,解除
acteurs,キャスト
sentez,感じ
couleurs,色
naturel,ナチュラル
travaillait,仕事をしていました
Wilson,ウィルソン
incendie,火
camarades,同志
chute,秋
accompagne,同行
passés,過去
médecins,医師
revenue,戻ってきた
peinture,ペインティング
reconnaître,認めます
dollar,ドル
coupez,切る
prénom,ファーストネーム
puce,チップ
pur,ピュア
prier,祈る
actions,株式
voisin,隣人
officiers,役員
prévenu,警告
chaude,ホット
bains,風呂
démon,悪魔
pierres,結石
miroir,鏡
forcément,必ずしも
lumières,ライト
actrice,女優
jouait,演奏
vérifie,確認
comportement,動作
avoue,告白
aient,持ってる
buvez,ドリンク
calmer,穏やか
amy,エイミー
technique,テクニカル
nôtres,私たちのもの
obtenu,GOT
autrefois,昔の
parlera,に話す
Ryan,ライアン
boss,ボス
parier,賭け事をします
correct,正しい
septembre,九月
libres,自由
affronter,面
doué,才能
appellent,コール
repose,休符
conditions,条項
parfum,香水
protège,保護されました
tasse,カップ
pensée,思想
salaire,給料
bagnole,ワゴン
infos,情報
jolies,可愛い
récompense,褒賞
kim,キム
essayons,試します
ordinaire,一般
jeunesse,若者
musée,博物館
bébés,乳幼児
chuck,チャック
plaisantes,楽しいです
absence,不在
aiors,渡すために来ました
échappé,エスケープ
fausse,偽
jury,陪審
étudiants,学生
approcher,アプローチ
espagne,スペイン
aprés,後に
blonde,ブロンドの髪
condition,調子
race,人種
vend,セルズ
absurde,不合理
masque,マスク
appellerai,コール
pardonner,許します
pouvoirs,権力
laissée,左
annoncer,アナウンス
origine,原点
el,エル
apprends,学びます
poitrine,胸
tape,平手打ち
remis,左利き
couvert,カバー
large,大
prenons,取る
pressé,急ぎます
nu,裸
loup,狼
urgent,緊急
attente,待機
bêtises,foolery
appels,コール
mystère,神秘
travailles,作業しています
vélo,自転車
vends,売る
armé,武装しました
réaction,反応
flotte,艦隊
bleue,青
foot,フットボール
foutez,冗談
virus,ウイルス
oeufs,卵
élève,学生
daniel,ダニエル
êtres,人間
vengeance,復讐
stan,スタン
essayais,試してみました
minable,みすぼらしいです
cérémonie,式
gordon,ゴードン
uniquement,のみ
salauds,できそこない
alan,アラン
froide,コールド
helen,ヘレン
portée,範囲
disque,ディスク
attaqué,攻撃
résoudre,解決する
moche,醜い
scientifique,科学者
colle,のり
lady,レディ
maximum,最大
déclaration,宣言
installer,インストール
blessés,負傷しました
effort,努力
iras,行きます
commandement,命令
panne,壊す
visiter,訪問へ
disiez,伝えます
venais,来ました
pointe,ポイント
moque,笑
chambres,ベッドルーム
convaincu,確信して
raisonnable,合理的
aiiez,aiiez
rencontrés,MET
qualité,品質
aimée,愛し
irait,でしょう
épousé,妻
attitude,姿勢
joseph,ジョセフ
esclave,奴隷
milliards,十億
guide,ガイド
oeuvre,芸術作品
humour,ユーモア
bible,聖書
boule,玉
sacs,袋
avocats,弁護士
yo,ヨーヨー
meurent,死にます
connaissait,知っていました
union,連合
ex,EX
sally,サリー
blesser,傷つい
taylor,テイラー
maggie,マギー
perdus,失われました
malades,病気で
jungle,密林
jugement,判定
essai,トライアル
écrivain,ライター
digne,価値があります
survécu,生き残りました
julia,ジュリア
vérifié,確認
linda,リンダ
brûlé,焦げ
noble,ノーブル
sauté,飛び上がっ
gâcher,乱雑
inquiet,心配
enterrement,埋葬
prenne,取る
site,地点
engager,雇う
rayon,レイ
traîner,引っ張る
rang,順位
traître,反逆者
berlin,ベルリン
parlant,話し中
orange,オレンジ
jenny,ジェニー
voudras,お勧めします
sentais,胡瓜魚
bourse,証券取引所
élèves,学生
manques,不足
faisaient,やっていました
partage,共有
légende,伝説
cave,地下室
voleurs,泥棒
fruits,果物
préviens,あらかじめ警告します
connaissent,知っています
venant,から
policiers,警察
paire,ペア
pommes,りんご
meilleures,ベスト
cassette,カセット
sommet,山頂
remplacer,置き換えます
objets,オブジェクト
idiots,馬鹿
cage,ケージ
saurais,知っています
limite,リミット
ailes,翼
explication,説明
ô,ああ
bond,ジャンプ
floride,フロリダ
travaillez,ワーキング
carter,ボックス
conseiller,顧問
portait,身に着けていました
condamné,非難
voyant,見て
recule,後退
bénisse,祝福
associé,仲間、同僚
auteur,著者
écouté,聴く
sorcière,魔女
edward,エドワード
livrer,届けます
plainte,苦情文句
réellement,実は
albert,アルバート
adulte,大人